Path ID,ADV [Corrected]
29-190,34.04
122-111,97.66
68-106,37.29
81-74,244.49
193-40,4.45
26-146,10.73
66-107,25.42
117-27,1.55
66-64,71.49
111-28,20.09
116-40,2.86
27-3101,1.03
26-81,27.47
74-47,3.49
136-60,0.55
44-37,6.63
129-43,8.54
156-139,28.61
107-3065,3.3
145-104,2.55
21-64,42.62
150-37,4.41
179-145,8.06
177-152,6.56
149-179,1.15
103-24,32.87
111-54,2.59
111-3117,23.29
139-145,12.91
86-26,88.87
26-135,6.56
16-181,28.59
37-156,3.53
179-176,62.95
166-115,6.72
114-3114,41.61
150-150,332.96
166-43,10.86
136-41,1.06
88-106,732.39
44-125,3.69
156-70,97.46
18-64,70.51
191-145,36.16
31-100,77.37
145-81,14.33
176-108,721.3
191-17,48.51
103-122,57.02
86-3118,53.77
139-185,15.84
193-37,3.23
24-34,56.69
181-25,21.75
139-125,6.8
193-3065,2.12
54-139,6.02
129-31,62.83
194-28,133.98
31-43,77.27
179-3081,16.21
116-139,9.77
17-125,3.61
69-11,6.74
193-142,25.62
171-3112,128.48
24-185,104.62
125-76,21.06
191-76,49.86
64-114,76.57
70-135,34.84
166-156,31.34
66-41,14.78
11-Nov,172.4
185-64,725.33
43-75,4.24
20-70,36.86
17-41,82.83
149-3117,2.54
181-191,503.3
43-166,1.1
179-108,21.42
68-24,75.53
158-81,2.68
81-47,31.57
Nov-40,21.41
21-3024,42.2
192-85,50.84
108-28,18.51
145-17,5.38
104-43,13.74
185-86,242.51
122-35,88.74
17-21,97.05
21-100,58.85
177-131,4
150-47,2.13
60-142,33.91
37-85,7.68
21-41,21.59
70-115,256.93
127-66,61.59
177-3118,3.22
68-64,83.65
88-44,168.8
139-74,6.55
28-107,38.94
108-40,6.53
158-185,7.18
104-146,18.53
116-103,49.62
181-142,619.96
166-3081,5.37
116-165,5.85
60-111,19.45
116-11,6.89
193-41,6.54
131-115,17.28
34-125,5.12
34-66,14.42
104-177,19.26
125-3112,88.53
139-85,32.66
171-110,33
115-191,34.37
130-29,10.51
145-100,4.99
146-116,15.12
171-3101,54.08
17-106,14.29
29-27,1.97
